,Leader,Leader Unison,Main 2,Unison 2,Main 3,Unison 3,L Weapon,L Soul,2 Weapon,2 Soul,3 Weapon,3 Soul,L4,L5,L6,LU4,LU5,LU6,24,25,26,2U4,2U5,2U6,34,35,36,3U4,3U5,3U6,URL,Date
573,blank,Nasir,Rinne,Bianca,XBianca,Rolf,Haniclitus,Predator,Nevermind,Deimos' Bangle,Yata-no-Kagami,Deimos' Bangle,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/blank-magic_sword_girl-psychic_tomboygirl-lady_summoner-lady_summoner_xm20-black_wolf_knight-spear_0034_haniwa-bow_0016-sword_0060_raid-acce_0018_decay-acce_0014_boss_unique-acce_0018_decay@---,---,---,---,55-,---.png",2022-06-30 12:25:00
574,AMarina,Zeta,Rinne,Rolf,Nicola,XBianca,Flamewing Bow,Shield of the Ideal King,Deimos' Bangle,Deimos' Bangle,Yata-no-Kagami,Flamewing Bow,6,6,6,6,6,6,0,0,0,0,0,0,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/pirates_girl_2anv-zeta-psychic_tomboygirl-black_wolf_knight-sorceress_teacher-lady_summoner_xm20-bow_0019_raid-shield_0026_storyevent-acce_0018_decay-acce_0018_decay-acce_0014_boss_unique-bow_0019_raid@555,555,---,---,555,555.png",2022-06-28 17:50:00
575,SBelsidia,Bonnie,Zantetsu,Inaho,Beaucy,Teo,Aegaeon's Axe,Thor's Hammer,The Spear of Gluttony,Spear of the Life Tree,Yata-no-Kagami,Yata-no-Kagami,6,6,6,6,0,0,6,6,0,0,0,0,6,6,6,0,0,0,"https://eliya-bot.herokuapp.com/comp/dimension_witch_smr20-bee_girl-samurai_robot-fox_oracle-heavenly_two-lion_boy-axe_0025_decay-axe_0009-spear_0021_boss_unique-spear_0016-acce_0014_boss_unique-acce_0014_boss_unique@555,5--,55-,---,555,---.png",2022-06-28 15:14:00
576,Edita,Prika,Elegia,Sha Suzu,Tor Leleni,Fiora,Shadowflash Treatise,Shadowflash Treatise,Spear of the Life Tree,Spear of the Life Tree,Lost Tome of Archeus,Spear of the Life Tree,1,1,1,1,1,1,0,0,0,6,6,6,1,1,1,1,1,1,"https://eliya-bot.herokuapp.com/comp/punk_warrior-fake_princess-spanner_girl-student_gunsmith-little_wizard-fortuneteller-book_0022_raid-book_0022_raid-spear_0016-spear_0016-book_0028_storyevent-spear_0016@000,000,---,555,000,000.png",2022-06-27 09:59:00
577,SSera,Botan,SIllumine,Inaho,Rudy,Sera,Ancestral Scepter,Whitetail's Axe,Ancestral Staff,Ancestral Staff,Hanihagama,Ancestral Staff,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/machine_police_girl_smr21-big_gunner-illusionist_smr20-fox_oracle-lady_android-machine_police_girl-staff_0020_boss_unique-axe_0017-spear_0023_boss_unique-spear_0023_boss_unique-axe_0038_haniwa-spear_0023_boss_unique@---,5--,---,---,---,---.png",2022-06-27 01:20:00
578,NYEllya,APhiria,Rakisha,Razelt,Suizen,Sha Suzu,A Pirate's Life for Me,A Pirate's Life for Me,Yata-no-Kagami,Blaugandr,Bonds Forged in Flame,Blaugandr,1,6,6,0,0,0,6,6,0,1,6,0,1,1,6,6,6,0,"https://eliya-bot.herokuapp.com/comp/lightbullet_wiz_ny20-wind_oracle_1anv-drawing_witch-prince_zero-onmyoji_boy-student_gunsmith-book_0019_coop-book_0019_coop-acce_0014_boss_unique-staff_0025-main_chapter_orb_7-staff_0025@055,---,55-,05-,005,55-.png",2022-06-26 15:50:00
579,Green Blobble,Estariel,Nevia,XNimbus,Fluffy,Celtie,Yata-no-Kagami,Yata-no-Kagami,Death's Tomb,Death's Tomb,Acid Sky,Aero Heavy Bow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/slango_green-elf_princess-beast_shaman-white_tiger_xm20-combat_animal-wind_spgirl-acce_0014_boss_unique-acce_0014_boss_unique-book_0016_boss_unique-book_0016_boss_unique-sword_0064_raid-bow_0028_boss_unique@---,---,---,---,---,---.png",2022-06-26 01:28:00
580,WSuizen,Marnie,Noenne,Kikuno,Azel,AAlk,Beared Fang,Beared Fang,Staff of the Ancient King,Heatwave Blade,Spear of the Ancient King,Heatwave Blade,1,1,1,0,0,0,0,0,0,1,1,6,6,1,1,0,0,0,"https://eliya-bot.herokuapp.com/comp/onmyoji_boy_wt21-pretty_witch-heavenly_one-compliment_oiran-dragon_slayer-alk_1anv-sword_0050_boss_unique-sword_0050_boss_unique-staff_0017_boss_unique-sword_0035-spear_0020_boss_unique-sword_0035@000,---,---,005,500,---.png",2022-06-25 14:35:00
581,AMarina,Zeta,Rinne,Bianca,Enni,XBianca,Parashu,Predator,Yata-no-Kagami,Deimos' Bangle,Nevermind,Deimos' Bangle,6,6,6,6,6,6,0,0,0,0,0,0,6,6,0,6,6,0,"https://eliya-bot.herokuapp.com/comp/pirates_girl_2anv-zeta-psychic_tomboygirl-lady_summoner-fire_shaman-lady_summoner_xm20-axe_0024-bow_0016-acce_0014_boss_unique-acce_0018_decay-sword_0060_raid-acce_0018_decay@555,555,---,---,55-,55-.png",2022-06-25 13:33:00
582,Fluffy,Celtie,Nevia,Inaho,Hartlief,Silence Suzuka,Maltet,Acid Sky,Death's Tomb,Yata-no-Kagami,Yata-no-Kagami,Yata-no-Kagami,6,6,6,6,6,6,6,6,6,0,0,0,6,6,6,0,0,0,"https://eliya-bot.herokuapp.com/comp/combat_animal-wind_spgirl-beast_shaman-fox_oracle-herbalist-silence_suzuka-spear_0005-sword_0064_raid-book_0016_boss_unique-acce_0014_boss_unique-acce_0014_boss_unique-acce_0014_boss_unique@555,555,555,---,555,---.png",2022-06-25 13:23:00
583,ACouette,Ryuichi,Couette,Primula,Marianne,HLove,Nakigitsune Staff,Nakigitsune Staff,Yata-no-Kagami,Nakigitsune Staff,Parashu,Grief Scythe,6,6,6,0,0,0,6,6,6,0,0,0,0,0,0,6,6,0,"https://eliya-bot.herokuapp.com/comp/summoner_little_2anv-psychic_projection-summoner_little-blackflower_wiz-battle_maid-touyakiren_ceo_hw21-staff_0029_boss_unique-staff_0029_boss_unique-acce_0014_boss_unique-staff_0029_boss_unique-axe_0024-axe_0037@555,---,555,---,---,55-.png",2022-06-25 11:05:00
584,Special Week,Luluca,Illumine,Arisa,Clarte,Corinna,Special Dreamer,Special Dreamer,The Scriptures,Special Dreamer,Bonds Forged in Flame,Special Dreamer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/special_week-reporter-illusionist-arisa-pbc_operator-priest-acce_0039_storyevent-acce_0039_storyevent-book_0013-acce_0039_storyevent-main_chapter_orb_7-acce_0039_storyevent@---,---,---,---,---,---.png",2022-06-25 09:52:00
585,Rinne,Lilial,Enni,Lyla,Nicola,Hanabi,Prometheus Blade,Prometheus Blade,Guardian's Greatshield,Prometheus Blade,Flamewing Blade,Prometheus Blade,0,0,0,1,1,1,6,6,0,1,1,0,6,6,6,0,0,0,"https://eliya-bot.herokuapp.com/comp/psychic_tomboygirl-alchemist-fire_shaman-unyielding_adventurer-sorceress_teacher-kunoichi-sword_0012-sword_0012-shield_0011-sword_0012-sword_0048_raid_revival-sword_0012@---,000,55-,00-,555,---.png",2022-06-24 11:17:00
586,Special Week,Clarte,Quinvid,SNephtim,HNephtim,Teurgis,Tyr,Totemic Cestus,Totemic Cestus,Totemic Cestus,Cardinal,Oxhead Axe,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/special_week-pbc_operator-airship_captain-ruin_girl_smr21-ruin_girl_halfanv-starbreak_hunter-bow_0033_raid-fist_0023-fist_0023-fist_0023-sword_0029_boss_unique-axe_0012@---,---,---,---,555,555.png",2022-06-24 03:16:00
587,Arisa,Melsele,Piamo,Kugui,Lemarque,Fuku,Death's Sword,Death's Sword,Windwrath Axe,Windwrath Axe,Beast General's Halberd,Windwrath Axe,1,0,0,0,0,0,6,6,6,6,6,6,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/arisa-elf_archer-cool_witch_girl-ekaki_onmyoji-bird_master-warashi-sword_0022_boss_unique-sword_0022_boss_unique-axe_0026_raid-axe_0026_raid-spear_0018-axe_0026_raid@0--,---,555,555,---,---.png",2022-06-23 12:18:00
588,Edita,Rams,Rinkarina,Sha Suzu,Elegia,Lilial,Shadowflash Treatise,Shadowflash Treatise,Spear of the Life Tree,Spear of the Life Tree,Lost Tome of Archeus,Spear of the Life Tree,6,1,1,6,1,1,0,0,0,6,6,6,0,0,0,1,1,1,"https://eliya-bot.herokuapp.com/comp/punk_warrior-thunder_dragon-scissor_ratgirl-student_gunsmith-spanner_girl-alchemist-book_0022_raid-book_0022_raid-spear_0016-spear_0016-book_0028_storyevent-spear_0016@500,500,---,555,---,000.png",2022-06-23 12:12:00
589,SEclair,Rolf,AToria,NYLuluca,Vagner,Noenne,Stitch the Bear,Gauntlet of the Ancient King,Rame Flamme,Gauntlet of the Ancient King,Gauntlet of the Ancient King,Gauntlet of the Ancient King,6,6,6,6,6,6,0,0,0,6,6,6,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/bodysuit_trooper_smr21-black_wolf_knight-halberd_princess_2halfanv-reporter_ny20-fire_dragon-heavenly_one-axe_0035_boss_unique-fist_0017_boss_unique-sword_0054_coop-fist_0017_boss_unique-fist_0017_boss_unique-fist_0017_boss_unique@555,555,---,555,555,555.png",2022-06-23 00:23:00
590,Bulleta,VNate,Hopper,Lyra,Razelt,SSohvi,Lightcrest Crown,Positron Shooter,Bonds Forged in Flame,Hyperion Bow,Hyperion Bow,Hyperion Bow,6,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/combat_soldier-hero_girl_vt22-unleash_hunter-neoviolin_musician-prince_zero-psycho_reaper_smr21-acce_0024_raid_revival-gun_rare5_positron_shooter-main_chapter_orb_7-bow_0026_decay-bow_0026_decay-bow_0026_decay@555,---,---,5--,---,---.png",2022-06-22 23:40:00
591,Murakumo,Soushiro,Melsele,Sha Suzu,Hartlief,Nellie,Parashu,Death's Tomb,Death's Tomb,Death's Tomb,Yata-no-Kagami,Death's Tomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/katana_ghost-samurai-elf_archer-student_gunsmith-herbalist-lazy_genious-axe_0024-book_0016_boss_unique-book_0016_boss_unique-book_0016_boss_unique-acce_0014_boss_unique-book_0016_boss_unique@---,---,---,---,---,---.png",2022-06-22 22:38:00
592,Nate,Mordiaga,Liesel,Sha Suzu,Seiji,Kaiyu,Encounter,Seafang Whip,Shell of the Deep,Zub Akuly,Zub Akuly,Zub Akuly,1,1,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/hero_girl-desert_wizard-bishop_girl-student_gunsmith-psychic_seiji-depraved_monk-sword_0062_storyevent-sword_0049_raid_revival-shield_0018_boss_unique-acce_0020_boss_unique-acce_0020_boss_unique-acce_0020_boss_unique@00-,---,---,555,---,---.png",2022-06-22 18:39:00
593,ACipher,Cipher,Suizen,SShirano,XReylas,HRain,Hanilauncher,Spine of the Deep,Spine of the Deep,Spine of the Deep,Maltet,A Pirate's Life for Me,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/ice_witch_2anv-ice_witch-onmyoji_boy-fox_companion_smr21-freeze_eye_xm21-spry_sailor_hw21-gun_0015_haniwa-sword_0025_boss_unique-sword_0025_boss_unique-sword_0025_boss_unique-spear_0005-book_0019_coop@555,555,555,555,555,555.png",2022-06-22 17:09:00
594,SLilith,ACecilia,VEllya,Lilith,APhiria,Sarliha,Suppression,Restraint,Haniion,Restraint,Restraint,Restraint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/resistance_princess_smr21-woman_knight_1anv-lightbullet_wiz_vt21-resistance_princess-wind_oracle_1anv-desert_priest-axe_0028_boss_unique-staff_0027_boss_unique-acce_0025_haniwa-staff_0027_boss_unique-staff_0027_boss_unique-staff_0027_boss_unique@---,---,---,---,---,---.png",2022-06-22 14:53:00
595,Ellya,Keira,Feanie,Sarliha,Corinna,Sha Suzu,Lightcrest Lexicon,Khopesh of Stardust,Bonds Forged in Flame,Heimdall's Sword,Belt of Stardust,Heimdall's Sword,6,6,6,0,0,0,6,6,6,0,0,0,6,6,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/lightbullet_wiz-palpebra_knight_lady-sleep_puppy-desert_priest-priest-student_gunsmith-book_0031_raid_revival-sword_0057_newbie-main_chapter_orb_7-sword_0011-acce_0028_newbie-sword_0011@555,---,555,---,55-,555.png",2022-06-22 14:49:00
596,Love,Nate,Rebecca,Sha Suzu,Zelma,Arisa,Khopesh of Stardust,Khopesh of Stardust,Nurarihyon,Belt of Stardust,Wallbreaker,Belt of Stardust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/touyakiren_ceo-hero_girl-bearish_darkwitch-student_gunsmith-illegal_herbalist-arisa-sword_0057_newbie-sword_0057_newbie-main_chapter_orb_6-acce_0028_newbie-fist_0025_storyevent-acce_0028_newbie@---,---,---,---,---,---.png",2022-06-22 12:53:00
597,Luna,Love,Londahl,Tarha,Selgir,Rebecca,Darkbane Blade,Darkbane Blade,The Book of Pride,The Book of Pride,Tome of Stardust,The Book of Pride,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/luna-touyakiren_ceo-walking_armor-mummy_boy-blindness_gunner-bearish_darkwitch-sword_0052_raid_revival-sword_0052_raid_revival-book_0017_boss_unique-book_0017_boss_unique-book_0033_newbie-book_0017_boss_unique@000,0--,000,---,00-,555.png",2022-06-22 12:29:00
598,Love,Nate,Tarha,Arisa,Londahl,AAlk,Grudge Shield,Grudge Shield,24/7,Belt of Stardust,Belt of Stardust,Belt of Stardust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/touyakiren_ceo-hero_girl-mummy_boy-arisa-walking_armor-alk_1anv-shield_0022_storyevent-shield_0022_storyevent-staff_rare5_24_7-acce_0028_newbie-acce_0028_newbie-acce_0028_newbie@---,---,---,---,---,---.png",2022-06-21 21:17:00
599,HNephtim,Illumine,Special Week,SNephtim,Quinvid,Teurgis,Vigilance,Obstructor,Tyr,Special Dreamer,Haninone,Special Dreamer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/ruin_girl_halfanv-illusionist-special_week-ruin_girl_smr21-airship_captain-starbreak_hunter-spear_0030_boss_unique-shield_0013-bow_0033_raid-acce_0039_storyevent-staff_0030_haniwa-acce_0039_storyevent@---,---,---,---,---,---.png",2022-06-20 12:02:00
600,ACouette,XArum,DDenah,AArly,HSelgir,Couette,The Scepter of Sloth,Nakigitsune Staff,24/7,Nakigitsune Staff,Nakigitsune Staff,Sessho-seki Dagger,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/summoner_little_2anv-devil_princess_xm20-dark_psygirl_dst21-devil_woman_soldier_1anv-blindness_gunner_1halfanv-summoner_little-staff_0019_boss_unique-staff_0029_boss_unique-staff_rare5_24_7-staff_0029_boss_unique-staff_0029_boss_unique-sword_0040_boss_unique@---,5--,---,---,---,---.png",2022-06-20 05:48:00
601,Bianca,Rinne,Renoir,Faf,Rams,Tohru,Nurarihyon,Yata-no-Kagami,Yata-no-Kagami,Yata-no-Kagami,Astrolabe Staff,Thor's Hammer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/lady_summoner-psychic_tomboygirl-fox_scientist-cute_fafnir-thunder_dragon-psychic_tohru-main_chapter_orb_6-acce_0014_boss_unique-acce_0014_boss_unique-acce_0014_boss_unique-staff_0009-axe_0009@---,---,---,---,---,---.png",2022-06-19 13:22:00
602,Special Week,Razelt,HNephtim,Illumine,Quinvid,Teurgis,Bonds Forged in Flame,Totemic Cestus,Vigilance,Totemic Cestus,Cardinal,Totemic Cestus,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,"https://eliya-bot.herokuapp.com/comp/special_week-prince_zero-ruin_girl_halfanv-illusionist-airship_captain-starbreak_hunter-main_chapter_orb_7-fist_0023-spear_0030_boss_unique-fist_0023-sword_0029_boss_unique-fist_0023@---,---,---,55-,---,55-.png",2022-06-19 09:30:00
603,Eclair,Vyron,Bulleta,Sera,Razelt,Firamelia,Maltet,Positron Shooter,Senji Ryakketsu,Ceremonial Medallion,Heimdall's Sword,Heimdall's Sword,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/bodysuit_trooper-veteran_hunter-combat_soldier-machine_police_girl-prince_zero-lamp_guide-spear_0005-gun_rare5_positron_shooter-book_0009-acce_0012_storyevent-sword_0011-sword_0011@---,---,005,---,---,---.png",2022-06-19 03:17:00
604,AHanabi,Reticia,Nicola,XBianca,AMarina,Kyon,Parashu,Beared Claws,Yata-no-Kagami,Deimos' Bangle,Deimos' Bangle,Yata-no-Kagami,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,0,0,0,"https://eliya-bot.herokuapp.com/comp/kunoichi_1anv-tsundere_bountyhunter-sorceress_teacher-lady_summoner_xm20-pirates_girl_2anv-kyon-axe_0024-fist_0032_boss_unique-acce_0014_boss_unique-acce_0018_decay-acce_0018_decay-acce_0014_boss_unique@555,55-,555,555,555,---.png",2022-06-18 12:41:00
605,Special Week,SNephtim,HNephtim,Illumine,Quinvid,Teurgis,Cardinal,Totemic Cestus,Vigilance,Totemic Cestus,Totemic Cestus,Totemic Cestus,0,0,0,1,6,0,0,0,0,6,6,0,0,0,0,6,6,0,"https://eliya-bot.herokuapp.com/comp/special_week-ruin_girl_smr21-ruin_girl_halfanv-illusionist-airship_captain-starbreak_hunter-sword_0029_boss_unique-fist_0023-spear_0030_boss_unique-fist_0023-fist_0023-fist_0023@---,05-,---,55-,---,55-.png",2022-06-18 12:40:00
606,Fluffy,WSchult,Nevia,Hartlief,Melsele,Silence Suzuka,Acid Sky,Aero Heavy Bow,Death's Tomb,Yata-no-Kagami,Yata-no-Kagami,Yata-no-Kagami,6,6,6,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/combat_animal-wind_dragon_wt22-beast_shaman-herbalist-elf_archer-silence_suzuka-sword_0064_raid-bow_0028_boss_unique-book_0016_boss_unique-acce_0014_boss_unique-acce_0014_boss_unique-acce_0014_boss_unique@555,---,---,555,---,---.png",2022-06-18 10:56:00
607,Rinne,Owlbert,Enni,Jake,Gold Ship,Nasir,Reach Out With Your Hand,Belt of Stardust,Nurarihyon,Belt of Stardust,Khopesh of Stardust,The Book of Lies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/psychic_tomboygirl-owl-fire_shaman-disciplined_swordman-gold_ship-magic_sword_girl-main_chapter_orb_10-acce_0028_newbie-main_chapter_orb_6-acce_0028_newbie-sword_0057_newbie-book_0005@---,---,---,---,---,---.png",2022-06-18 06:17:00
608,Gold Ship,Kannon,Rinne,Shirano,Enni,Sha Suzu,Khopesh of Stardust,Khopesh of Stardust,Yata-no-Kagami,Yata-no-Kagami,Nurarihyon,Yata-no-Kagami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/gold_ship-red_gunner-psychic_tomboygirl-fox_companion-fire_shaman-student_gunsmith-sword_0057_newbie-sword_0057_newbie-acce_0014_boss_unique-acce_0014_boss_unique-main_chapter_orb_6-acce_0014_boss_unique@---,---,---,---,---,---.png",2022-06-18 04:40:00
609,Gold Ship,Kannon,Rinne,Lilial,Enni,Bianca,Parashu,A Treatise on War,Yata-no-Kagami,Yata-no-Kagami,blank,Yata-no-Kagami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/gold_ship-red_gunner-psychic_tomboygirl-alchemist-fire_shaman-lady_summoner-axe_0024-book_0004-acce_0014_boss_unique-acce_0014_boss_unique-blank-acce_0014_boss_unique@---,---,---,---,---,---.png",2022-06-18 02:49:00
610,Fluffy,HMelmyna,Silence Suzuka,NYSuzuka,Owlbert,Nellie,Acid Sky,Silent Innocence,Woodsprite Greatsword,Woodsprite Greatsword,Death's Tomb,Yata-no-Kagami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/combat_animal-sanctuary_guard_hw21-silence_suzuka-timid_kunoichi_ny21-owl-lazy_genious-sword_0064_raid-acce_0040_storyevent-sword_0014-sword_0014-book_0016_boss_unique-acce_0014_boss_unique@---,---,---,---,---,---.png",2022-06-18 00:43:00
611,Silence Suzuka,Aurore,Melsele,Arisa,Middy,Kugui,Aero Bone Shield,Aeolian Bow,Aeolian Bow,Aeolian Bow,Death's Axe,Death's Axe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/silence_suzuka-birdman-elf_archer-arisa-steel_lacrosse-ekaki_onmyoji-shield_0025_boss_unique-bow_0009-bow_0009-bow_0009-axe_0018_boss_unique-axe_0018_boss_unique@---,---,---,---,---,---.png",2022-06-17 19:19:00
612,Shuilong,PShuilong,Saar,Nate,Rakisha,Mizuchi,Parashu,Blaugandr,Yata-no-Kagami,Blaugandr,Juturna's Fan,Juturna's Fan,6,6,6,6,6,6,1,6,6,6,6,6,6,6,0,1,6,6,"https://eliya-bot.herokuapp.com/comp/waterdragon_kunfu-waterdragon_kunfu_proud-deepsea_mage-hero_girl-drawing_witch-onmyo_attendant-axe_0024-staff_0025-acce_0014_boss_unique-staff_0025-sword_0042_decay-sword_0042_decay@555,555,055,555,55-,055.png",2022-06-17 13:48:00
613,Nephtim,Zekhel,Bulleta,Firamelia,Razelt,Stella,Positron Shooter,Positron Shooter,Nostalgia,Trick or Claw,Senji Ryakketsu,Lightcrest Shield,0,0,0,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,"https://eliya-bot.herokuapp.com/comp/ruin_girl-guildknight_leader-combat_soldier-lamp_guide-prince_zero-stella_2anv-gun_rare5_positron_shooter-gun_rare5_positron_shooter-shield_0020_boss_unique-fist_0024_raid-book_0009-shield_0016_raid@---,---,111,---,111,---.png",2022-06-17 13:40:00
614,Shywe,Merienna,Silence Suzuka,Hartlief,Middy,Kugui,Aero Bone Shield,Death's Axe,Aeolian Bow,Aeolian Bow,Death's Axe,Death's Axe,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,6,0,0,"https://eliya-bot.herokuapp.com/comp/bigwing_shaman-sheep_girl-silence_suzuka-herbalist-steel_lacrosse-ekaki_onmyoji-shield_0025_boss_unique-axe_0018_boss_unique-bow_0009-bow_0009-axe_0018_boss_unique-axe_0018_boss_unique@---,---,---,555,---,5--.png",2022-06-17 03:50:00
615,AHanabi,Nasir,Rinne,Jake,XMarianne,XBianca,Parashu,Hero's Megaphone,Deimos' Bangle,Deimos' Bangle,Yata-no-Kagami,Deimos' Bangle,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"https://eliya-bot.herokuapp.com/comp/kunoichi_1anv-magic_sword_girl-psychic_tomboygirl-disciplined_swordman-battle_maid_xm19-lady_summoner_xm20-axe_0024-sword_0047_scollab-acce_0018_decay-acce_0018_decay-acce_0014_boss_unique-acce_0018_decay@500,500,000,000,000,000.png",2022-06-16 22:25:00
616,Mino,Regis,Mayuzuki,Edita,Rinkarina,Sha Suzu,Aegaeon's Axe,Aegaeon's Axe,Electric Dagger,Spear of the Life Tree,Yata-no-Kagami,Philebus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/minotaur_girl-rec_android-spider_ninja-punk_warrior-scissor_ratgirl-student_gunsmith-axe_0025_decay-axe_0025_decay-sword_0027-spear_0016-acce_0014_boss_unique-book_0010@---,---,---,---,---,---.png",2022-06-16 18:42:00
617,Zantetsu,Beaucy,Metis,Inaho,ARegis,SBelsidia,Yata-no-Kagami,Yata-no-Kagami,Astrolabe Staff,Electric Dagger,Aegaeon's Axe,Thor's Hammer,6,6,0,6,6,6,0,0,0,0,0,0,6,1,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/samurai_robot-heavenly_two-thunder_archer-fox_oracle-rec_android_1anv-dimension_witch_smr20-acce_0014_boss_unique-acce_0014_boss_unique-staff_0009-sword_0027-axe_0025_decay-axe_0009@55-,555,---,---,505,555.png",2022-06-15 22:36:00
618,HAmelia,ADia,Rakisha,blank,Vivi,Amelia,Yata-no-Kagami,Oxhead Axe,Juturna's Fan,Juturna's Fan,Parashu,Blaugandr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/mermaid_1halfanv-sing_android_2halfanv-drawing_witch-blank-shy_assassin-mermaid-acce_0014_boss_unique-axe_0012-sword_0042_decay-sword_0042_decay-axe_0024-staff_0025@---,---,---,---,---,---.png",2022-06-15 20:21:00
619,AMarina,Haruhi,XBianca,Rolf,Rinne,Bianca,Parashu,Hero's Megaphone,Nevermind,Yata-no-Kagami,Yata-no-Kagami,Yata-no-Kagami,6,6,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/pirates_girl_2anv-suzumiya_haruhi-lady_summoner_xm20-black_wolf_knight-psychic_tomboygirl-lady_summoner-axe_0024-sword_0047_scollab-sword_0060_raid-acce_0014_boss_unique-acce_0014_boss_unique-acce_0014_boss_unique@555,---,55-,---,---,---.png",2022-06-15 12:15:00
620,SAzel,XBianca,Marina,Kikuno,Nicola,Yugiri,Prometheus Blade,Prometheus Blade,Deimos' Bangle,Prometheus Blade,Yata-no-Kagami,Yata-no-Kagami,6,6,6,6,6,6,6,6,6,1,1,6,6,6,6,6,1,6,"https://eliya-bot.herokuapp.com/comp/dragon_slayer_smr21-lady_summoner_xm20-pirates_girl-compliment_oiran-sorceress_teacher-yugiri-sword_0012-sword_0012-acce_0018_decay-sword_0012-acce_0014_boss_unique-acce_0014_boss_unique@555,555,555,005,555,505.png",2022-06-15 08:37:00
621,ARegis,Inaho,SSera,Bianca,Rudy,XBianca,Parashu,Thor's Hammer,Yata-no-Kagami,Yata-no-Kagami,Hanihagama,Yata-no-Kagami,6,1,6,6,6,6,6,6,6,0,0,0,1,6,0,6,6,0,"https://eliya-bot.herokuapp.com/comp/rec_android_1anv-fox_oracle-machine_police_girl_smr21-lady_summoner-lady_android-lady_summoner_xm20-axe_0024-axe_0009-acce_0014_boss_unique-acce_0014_boss_unique-axe_0038_haniwa-acce_0014_boss_unique@505,555,555,---,05-,55-.png",2022-06-15 08:24:00
